sad	I understand.	Ich verstehe.
sad	I‘m sorry about that.	Das tut mir leid.
neutral	I see.	Ich sehe.
neutral	Ok.	Ok.
sad	I‘m sure you will overcome this.	Ich bin sicher, Sie werden das schaffen.
neutral	Alright.	In Ordnung.
neutral	Mhmm.	Mhmm.
neutral	I agree with you.	Ich bin mit Ihnen einverstanden.
surprised	What a surprise.	Was für eine Überraschung.
sad	That must be hard.	Das muss hart sein.
afraid	Don‘t be afraid. It soon will get better.	Haben Sie keine Angst, es wird bald besser.
sad	Don‘t worry, it soon will get better.	Machen Sie sich keine Sorgen, es wird bald besser.
confused	Let‘s think about how we can solve this.	Überlegen wir, wie wir das lösen können.
disgusted	Mhmm.	Mhmm.
angry	I understand your anger.	Ich verstehe Ihren Ärger.
happy	I‘m happy that you feel better.	Es freut mich, dass Sie sich besser fühlen.
happy	It‘s good to hear that you feel good.	Es freut mich, dass es Ihnen gut geht.
confused	I understand your confusion.	Ich verstehe Ihre Verwirrung.
confused	We will clarify this.	Wir werden das klären.
neutral	And... 	Und...
neutral	Do you have an idea	Haben Sie eine Idee
neutral	So	Also
neutral	Hmm.	Hmm.
angry	That must be frustrating.	Das muss frustrierend sein.
angry	I'm sorry about that.	Das tut mir leid.
ill	Ok.	Ok.
ill	And...	Und...
